FIPS,Week,Confirmed,Deaths,Incident_Rate,New_Cases,Risk_Category,scaled_new_cases,scaled_incidence
1,1,2692473,35201,7844.676470498258,133354.0,Low,0.0011665767843009548,-0.8158622518100335
1,2,2877535,40108,8383.865356323056,185062.0,Low,0.08527846720688062,-0.672529397009469
1,3,3010889,44172,8772.399980828788,133354.0,Low,0.0011665767843009548,-0.5692450408527521
1,4,3143072,49862,9157.52282882016,132183.0,Low,-0.0007382546476794117,-0.46686763897606764
1,5,3256946,56800,9489.301341882878,113874.0,Low,-0.030520969155047924,-0.37867078869043697
1,6,3332597,61948,9709.714924366215,75651.0,Low,-0.09269720470123541,-0.32007813434477234
1,7,3383754,65676,9858.76381518194,51157.0,Low,-0.1325408777114208,-0.28045639215549223
1,8,3429198,68218,9991.167548673537,45444.0,Low,-0.14183404762679555,-0.2452594405740935
1,9,3474970,70245,10124.526929216125,45772.0,High,-0.1413004996253527,-0.20980844885277108
1,10,3510204,71604,10227.18323468754,35234.0,High,-0.1584423558424399,-0.18251927113912317
1,11,3561809,72608,10377.537399524128,51605.0,High,-0.13181212922164523,-0.14255054729531344
1,12,3588529,73362,10455.387671482924,26720.0,High,-0.17229183048964813,-0.12185557004298124
1,13,3608125,73930,10512.481755663484,19596.0,High,-0.18388023281366875,-0.10667822070777523
1,14,3623031,74652,10555.911252438102,14906.0,High,-0.19150931856600686,-0.0951333355684319
1,15,3644208,75139,10617.611671946765,21177.0,High,-0.18130846637988485,-0.07873148177828772
1,16,3669659,75700,10691.764638699133,25451.0,High,-0.17435607565376693,-0.0590193610429173
1,17,3690013,76132,10751.067199906069,20354.0,High,-0.18264721639570025,-0.04325493114044842
1,18,3706691,76559,10799.659521602503,16678.0,High,-0.18862685802162665,-0.03033760963541923
1,19,3735774,77001,10884.39453130975,29083.0,High,-0.16844800754022918,-0.007812459057965275
1,20,3786675,77433,11032.697551256408,50901.0,High,-0.132957305419864,0.03161100790015472
1,21,3799760,77918,11070.821458763176,13085.0,High,-0.19447148597645625,0.04174550555534801
1,22,3811651,78199,11105.46657791969,11891.0,High,-0.19641373083536706,0.05095523514020895
1,23,3827075,78668,11150.405297780932,15424.0,High,-0.19066670312470385,0.06290131781760233
1,24,3837319,79009,11180.251786775914,10244.0,High,-0.19909285753773398,0.07083542511449231
1,25,3845339,79256,11203.618522595882,8020.0,High,-0.2027105732548342,0.07704701634067868
1,26,3855398,79432,11232.926003345638,10059.0,High,-0.19939379162391363,0.08483783880254982
1,27,3868392,79648,11270.784777066918,12994.0,High,-0.1946195130134419,0.09490185580916687
1,28,3897281,79958,11354.954556506202,28889.0,High,-0.1687635816630338,0.11727675093800775
1,29,3949260,80231,11506.398392065568,51979.0,High,-0.13120375436634152,0.15753514250234088
1,30,4035470,80524,11757.57623433981,86210.0,High,-0.07552118839868999,0.22430587562073676
1,31,4174908,80973,12163.836946218193,139438.0,High,0.011063241542771109,0.33230236656799167
1,32,4334677,81840,12629.333207467624,159769.0,High,0.04413508427854637,0.456045473627417
1,33,4522528,83157,13176.64800678393,187851.0,High,0.08981525188988083,0.6015384441299557
1,34,4706665,84475,13713.141851382608,184137.0,High,0.08377379677598239,0.7441548747554299
1,35,4933995,86156,14375.481010229649,227330.0,High,0.15403458588061772,0.9202248290508129
1,36,5129969,87569,14946.462641848397,195974.0,High,0.10302869827927154,1.072009165579575
1,37,5305044,89969,15456.553823105362,175075.0,High,0.06903290656538795,1.2076069628270312
1,38,5450602,95286,15880.645510447366,145558.0,High,0.021018466447741083,1.3203434710192077
1,39,5561702,99563,16204.34181338981,111100.0,High,-0.03503335377700654,1.4063918232921897
1,40,5628896,102383,16400.11543517122,67194.0,High,-0.10645395911648559,1.458434424395977
1,41,5674443,104988,16532.819265145296,45547.0,High,-0.14166650054097663,1.4937111507774132
1,42,5715004,107036,16650.99609452107,40561.0,High,-0.14977708083120217,1.5251261572269579
1,43,5783833,108259,16851.533383767026,68829.0,High,-0.10379435246295195,1.5784350864672563
1,44,5836292,109805,17004.375727205887,52459.0,High,-0.13042295241301052,1.619065244090013
1,45,5863351,111313,17083.213695354578,27059.0,High,-0.17174038911010814,1.6400227811211079
1,46,5887209,112165,17152.72536408186,23858.0,High,-0.1769473621363841,1.6585011032500805
1,47,5908184,112679,17213.837244857896,20975.0,High,-0.18163705386857829,1.674746505490636
1,48,5925310,113007,17263.7348405752,17126.0,High,-0.18789810953185107,1.6880108086501968
1,49,5950614,113483,17337.459514289472,25304.0,High,-0.17459519625197453,1.7076090760301743
1,50,5983543,114135,17433.40006838121,32929.0,High,-0.16219183188916472,1.73311300215076
1,51,6033891,114692,17580.091890708358,50348.0,High,-0.13385685433693073,1.7721081636290688
1,52,5279391,98636,17945.44770389043,0.0,High,-0.21575647255840597,1.8692308846237002
2,1,342898,1541,6696.160669737141,342898.0,Low,0.34202566951093966,-1.1211727892385406
2,2,356383,1585,6959.497658087629,13485.0,Low,-0.19382081768201379,-1.0511697841559708
2,3,367456,1708,7175.73276910023,11073.0,Low,-0.19774434749750194,-0.993687894999183
2,4,376116,1825,7344.846474633431,8660.0,Low,-0.2016695039837262,-0.9487323129439326
2,5,383746,1919,7493.846194404601,7630.0,Low,-0.2033449748419156,-0.909123641918348
2,6,392087,1962,7656.730422794028,8341.0,Low,-0.2021884119485441,-0.8658240449295671
2,7,398711,2005,7786.084832199563,6624.0,Low,-0.20498140560243844,-0.8314376967154815
2,8,405726,2029,7923.074744938062,7015.0,Low,-0.2043453773446209,-0.7950215987804259
2,9,412703,2108,8059.322588298933,6977.0,Low,-0.20440719083259296,-0.758802765524135
2,10,419388,2137,8189.868214336975,6685.0,Low,-0.20488217868753597,-0.7240997555888754
2,11,426032,2155,8319.61318657284,6644.0,Low,-0.20494887218771632,-0.6896095838596509
2,12,432871,2183,8453.16614640443,6839.0,Low,-0.20463167139417562,-0.6541071328578197
2,13,440631,2191,8604.704524572748,7760.0,Low,-0.2031335076462218,-0.6138236089838313
2,14,449981,2191,8787.29264775236,9350.0,Low,-0.20054710117581293,-0.5652861156562801
2,15,458406,2257,8951.817240029175,8425.0,Low,-0.20205177160671117,-0.5215504599039147
2,16,466477,2338,9109.428870209138,8071.0,Low,-0.20262761304729277,-0.4796524803695118
2,17,474347,2416,9263.115343944277,7870.0,Low,-0.20295457386525012,-0.4387979271622574
2,18,480280,2438,9378.975807561885,5933.0,Low,-0.20610543508108783,-0.40799868139622963
2,19,484721,2461,9465.70028403682,4441.0,Low,-0.2085324278193583,-0.3849446698595823
2,20,488116,2561,9531.998324485456,3395.0,Low,-0.2102339254093254,-0.36732062816471334
2,21,490650,2583,9581.48263508836,2534.0,Low,-0.21163448891311282,-0.35416618879658307
2,22,492436,2583,9616.359895836891,1786.0,Low,-0.21285123862372027,-0.3448947488946577
2,23,493989,2591,9646.687099612072,1553.0,Low,-0.213230252905233,-0.33683285294410276
2,24,495376,2611,9673.772631895508,1387.0,Low,-0.21350028024742665,-0.32963269216920277
2,25,496941,2615,9704.334173368889,1565.0,Low,-0.21321073285639974,-0.3215085021095642
2,26,498721,2630,9739.09426526832,1780.0,Low,-0.2128609986481369,-0.3122682092621807
2,27,500810,2643,9779.888552896364,2089.0,Low,-0.2123583573906801,-0.3014238431058969
2,28,504727,2665,9856.380283216637,3917.0,Low,-0.20938480328507794,-0.2810900076658947
2,29,512557,2675,10009.285631291114,7830.0,High,-0.20301964069469436,-0.2404431014889188
2,30,523378,2702,10220.599650641549,10821.0,High,-0.1981542685230007,-0.18426938862288378
2,31,537554,2756,10497.43058477996,14176.0,High,-0.1926967882033644,-0.11067928109225725
2,32,552560,2806,10790.4698763771,15006.0,High,-0.19134665149239624,-0.03278049768335563
2,33,573046,2866,11190.523383484857,20486.0,High,-0.18243249585853424,0.07356592887367254
2,34,597510,3007,11668.25983754539,24464.0,High,-0.17596159967030375,0.200562852591876
2,35,623897,3112,12183.548907742224,26387.0,High,-0.17283351184477153,0.33754240729070867
2,36,652530,3174,12742.698183785198,28633.0,High,-0.16918000937147698,0.48618134273966757
2,37,687747,3257,13430.420743573046,35217.0,High,-0.15847000924495372,0.6689989793724338
2,38,731983,3456,14294.267611698528,44236.0,High,-0.14379906587601185,0.8986358301571971
2,39,791225,3948,15451.15377142115,59242.0,High,-0.11938924481000214,1.2061714643508625
2,40,835306,4098,16311.973777611574,44081.0,High,-0.1440511998401083,1.4350036828932988
2,41,878170,4260,17149.028035576368,42864.0,High,-0.14603085812594957,1.6575182405395166
2,42,916495,4696,17897.44405919761,38325.0,High,-0.15341431659713564,1.856470051424906
2,43,953050,5002,18611.295272334577,36555.0,High,-0.1562935238000436,2.04623348122048
2,44,983330,5146,19202.60739745529,30280.0,High,-0.16650088266911006,2.2034222831411485
2,45,1008373,5681,19691.650645453898,25043.0,High,-0.17501975731409825,2.3334248976226304
2,46,1028778,5912,20090.12237309881,20405.0,High,-0.18256425618815883,2.4393508389433434
2,47,1044978,6082,20406.478265666698,16200.0,High,-0.18940440663348543,2.5234478862060534
2,48,1058850,6165,20677.37264478408,13872.0,High,-0.19319129610714067,2.5954598763065646
2,49,1069862,6193,20892.416539164176,11012.0,High,-0.1978435744124044,2.652625103742179
2,50,1078837,6330,21067.681609275085,8975.0,High,-0.20115710270185277,2.6992159061608705
2,51,1085939,6742,21206.370470325528,7102.0,High,-0.2042038569905797,2.7360836363867826
2,52,939155,5862,21396.610370289363,0.0,High,-0.21575647255840597,2.7866552054150997
4,1,4048269,66601,7945.413221274338,4048269.0,Low,6.369444241627526,-0.7890833502939509
4,2,4498043,74586,8828.170835994468,449774.0,Low,0.5158777311030265,-0.5544194461572354
4,3,4852747,81268,9524.337481847027,354704.0,Low,0.36123014422140953,-0.36935711384609776
4,4,5166544,88507,10140.21721528278,313797.0,High,0.29468792441951297,-0.20563749215522878
4,5,5379522,94893,10558.222594134966,212978.0,High,0.13068860747602146,-0.09451891043367715
4,6,5519998,101295,10833.930524529844,140476.0,High,0.01275172576684935,-0.02122733155737605
4,7,5609150,106177,11008.906416572356,89152.0,High,-0.07073552309306554,0.025286598508826988
4,8,5683209,110028,11154.259741105472,74059.0,High,-0.09528686451311649,0.06392594644014575
4,9,5742838,112885,11271.291747864749,59629.0,High,-0.11875972323512904,0.09503662411330666
4,10,5804702,114912,11392.71032047465,61864.0,High,-0.11512411413993166,0.12731338480982043
4,11,5839727,116335,11461.452812160636,35025.0,High,-0.1587823300262861,0.14558723621605651
